Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Title,Channels,Views,Likes,Comments,Licensed,official_video,Stream,EnergyLiveness,most_playedon
"The Beatles","Here Comes The Sun - Remastered 2009","Abbey Road (Remastered)",album,0.557,0.54,-10.484,0.0347,0.0339,0.00248,0.179,0.394,129.171,3.09555,"The Beatles - Here Comes The Sun (2019 Mix)",TheBeatlesVEVO,114971785,1126554,32910,TRUE,TRUE,942898131,3.016759777,Spotify
"The Beatles","Let It Be - Remastered 2009","Let It Be (Remastered)",album,0.443,0.403,-8.339,0.0322,0.631,0,0.111,0.41,143.462,4.05045,"Let It Be (Remastered 2009)","The Beatles - Topic",131925109,1075941,15452,TRUE,TRUE,526788025,3.630630631,Spotify
"The Beatles","Come Together - Remastered 2009","Abbey Road (Remastered)",album,0.533,0.376,-11.913,0.0393,0.0302,0.248,0.0926,0.187,165.007,4.33245,"Come Together (Remastered 2009)","The Beatles - Topic",31607772,383619,3211,TRUE,TRUE,574936342,4.060475162,Spotify
"The Beatles","Yesterday - Remastered 2009","Help! (Remastered)",album,0.332,0.179,-11.83,0.0326,0.879,0,0.0886,0.315,96.529,2.09445,"Yesterday (Remastered 2009)","The Beatles - Topic",42856675,475089,5938,TRUE,TRUE,475131674,2.020316027,Spotify
"The Beatles","Twist And Shout - Remastered 2009","Please Please Me (Remastered)",album,0.482,0.849,-9.198,0.0452,0.641,0.00000774,0.0414,0.937,124.631,2.587116667,"Twist And Shout (Remastered 2009)","The Beatles - Topic",53228361,490790,4309,TRUE,TRUE,341963190,20.50724638,Spotify
"The Beatles","Blackbird - Remastered 2009","The Beatles (Remastered)",album,0.686,0.127,-14.361,0.0342,0.754,0.0000141,0.0573,0.372,93.699,2.30645,"Blackbird (Remastered 2009)","The Beatles - Topic",33852949,365297,4522,TRUE,TRUE,326733164,2.216404887,Spotify
"The Beatles","In My Life - Remastered 2009","Rubber Soul (Remastered)",album,0.688,0.435,-11.359,0.0323,0.449,0,0.113,0.435,103.239,2.438883333,"In My Life (Remastered 2009)","The Beatles - Topic",63223118,463315,8607,TRUE,TRUE,266426563,3.849557522,Spotify
"The Beatles","Hey Jude - Remastered 2015","1 (Remastered)",album,0.386,0.607,-7.7,0.0261,0.0112,0.0000138,0.088,0.532,147.207,7.094216667,"Hey Jude (Remastered 2015)","The Beatles - Topic",56888766,460662,6569,TRUE,TRUE,486111943,6.897727273,Spotify
"The Beatles","I Want To Hold Your Hand - Remastered 2015","1 (Remastered)",album,0.49,0.715,-5.549,0.0476,0.386,0,0.311,0.866,130.726,2.429116667,"I Want To Hold Your Hand (Remastered 2015)","The Beatles - Topic",28799448,275921,4031,TRUE,TRUE,334903879,2.29903537,Spotify
"The Beatles","Something - Remastered 2009","Abbey Road (Remastered)",album,0.396,0.338,-10.872,0.0304,0.198,0.00000262,0.138,0.377,133.522,3.038216667,"The Beatles - Something",TheBeatlesVEVO,96849734,675186,26651,TRUE,TRUE,233382117,2.449275362,Spotify
